Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.8195,0.8247,0.8613,0.8614,0.5737,0.5555,0.5032,0.7991,0.5031,1990
0.812,0.8183,0.8635,0.8639,0.5754,0.5553,0.5135,0.7939,0.5136,1991
0.8276,0.8323,0.8696,0.8694,0.5733,0.5555,0.5029,0.801,0.5032,1992
0.8236,0.8283,0.8685,0.8681,0.575,0.5566,0.5031,0.8064,0.5028,1993
0.8203,0.8258,0.8657,0.8658,0.5765,0.5557,0.5038,0.8011,0.5038,1994
