Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.8195,0.8247,0.8613,0.8614,0.5737,0.5555,0.5032,0.7991,0.5031,1990
0.8128,0.8196,0.8657,0.8665,0.5772,0.5561,0.5109,0.8028,0.5112,1991
0.81,0.8166,0.8613,0.8619,0.5812,0.56,0.5044,0.8018,0.5044,1992
0.8143,0.8208,0.8663,0.8669,0.581,0.5621,0.509,0.8032,0.5094,1993
0.8223,0.8276,0.8682,0.8683,0.5714,0.551,0.5078,0.8024,0.5077,1994
